50.75,254511,506.07
50.88,255511,505.40
51.00,256510,504.73
51.13,257511,504.06
51.19,258510,503.39
51.31,259511,503.34
51.38,260510,502.67
51.50,261511,502.61
51.63,262511,501.93
51.75,263511,501.25
51.81,264511,500.57
51.94,265510,500.50
52.00,266511,499.82
52.13,267511,499.75
52.19,268511,499.06
52.31,269511,498.99
52.38,270511,498.29
52.50,271511,498.22
52.56,272510,497.52
52.63,273511,497.44
52.75,274511,497.37
52.88,275511,496.66
53.00,276511,495.95
53.06,277511,495.24
53.25,278511,495.16
53.31,279512,493.82
53.44,280511,493.73
53.50,281511,493.01
53.63,282511,492.91
53.69,283511,492.19
53.75,284512,492.09
53.88,285511,491.99
53.94,286512,491.26
54.06,287511,491.16
54.19,288512,490.43
54.31,289512,489.70
54.38,290511,488.96
54.56,291512,488.85
54.69,292511,487.48
54.81,293512,486.74
54.88,294512,485.99
54.94,295512,485.87
55.06,296512,485.74
55.13,297511,484.99
55.19,298512,484.87
55.31,299512,484.74
55.38,300512,483.98
55.50,301512,483.85
55.63,302512,483.09
55.69,303512,482.33
55.75,304512,482.19
55.88,305512,482.05
56.00,306512,481.28
56.13,307512,480.51
56.25,308512,479.74
56.38,309512,478.96
56.50,310512,478.18
56.56,311513,477.40
56.69,312512,477.25
56.75,313512,476.46
56.88,314512,476.30
56.94,315512,475.52
57.06,316513,475.35
57.13,317512,474.56
57.19,318513,474.39
57.31,319512,474.23
57.38,320513,473.43
57.50,321512,473.26
57.63,322512,472.46
57.69,323513,471.65
57.81,324512,471.47
57.88,325513,470.67
58.00,326512,470.49
58.13,327513,469.68
58.19,328513,468.86
58.31,329512,468.67
58.44,330513,467.86
58.50,331512,467.04
58.56,332513,466.84
58.69,333513,466.65
58.75,334513,465.83
58.88,335513,465.63
58.94,336513,464.80
59.00,337513,464.59
59.06,338513,464.39
59.19,339513,464.18
59.31,340513,463.35
59.44,341513,462.51
59.50,342513,461.67
59.63,343514,461.46
59.69,344513,460.62
59.81,345513,460.40
59.88,346513,459.55
60.00,347513,459.33
60.13,348513,458.48
60.25,349513,457.63
60.31,350514,456.77
60.38,351513,456.54
60.50,352514,456.31
60.56,353513,455.45
60.69,354513,455.21
60.75,355514,454.35
60.88,356513,454.11
